D a t e , D r o u g h t L e v e l , P r o d u c t i o n
2006-01-31,2,2988.863
2006-02-28,2,2694.594
2006-03-31,3,2845.819
2006-04-30,3,2792.79
2006-05-31,1,712.138
2006-06-30,2,2411.158
2006-07-31,0,3269.603
2006-08-31,0,3478.386
2006-09-30,0,3450.271
2006-10-31,0,3870.688
2006-11-30,0,3713.158
2006-12-31,0,3566.619
2007-01-31,0,3288.401
2007-02-28,0,3058.756
2007-03-31,0,3244.365
2007-04-30,1,2802.545
2007-05-31,1,1084.363
2007-06-30,1,2055.913
2007-07-31,2,3506.82
2007-08-31,0,3764.928
2007-09-30,0,3823.179
2007-10-31,1,3778.814
2007-11-30,1,3523.36
2007-12-31,1,3487.697
2008-01-31,1,3330.565
2008-02-29,2,2864.106
2008-03-31,2,3117.093
2008-04-30,2,2987.679
2008-05-31,3,1086.722
2008-06-30,3,3057.062
2008-07-31,2,3820.741
2008-08-31,2,3783.728
2008-09-30,1,1273.578
2008-10-31,1,2432.626
2008-11-30,1,3720.956
2008-12-31,1,3583.922
2009-01-31,1,3588.924
2009-02-28,1,3063.367
2009-03-31,1,3178.601
2009-04-30,1,2694.613
2009-05-31,1,2506.671
2009-06-30,1,2519.154
2009-07-31,2,3457.809
2009-08-31,3,3634.872
2009-09-30,2,3804.852
2009-10-31,2,3974.841
2009-11-30,2,3500.094
2009-12-31,2,3458.665
2010-01-31,2,3380.31
2010-02-28,0,3478.037
2010-03-31,0,3390.297
2010-04-30,0,2660.767
2010-05-31,0,3185.602
2010-06-30,0,3074.863
2010-07-31,0,4054.643
2010-08-31,0,4176.154
2010-09-30,0,3989.401
2010-10-31,0,4369.957
2010-11-30,0,4124.73
2010-12-31,0,4092.316
2011-01-31,0,3909.375
2011-02-28,0,2793.623
2011-03-31,1,837.648
2011-04-30,2,0
2011-05-31,1,0
2011-06-30,3,0
2011-07-31,2,0
2011-08-31,2,0
2011-09-30,1,0
2011-10-31,1,0
2011-11-30,1,0
2011-12-31,1,0
2012-01-31,1,168.2
2012-02-29,0,907.709
2012-03-31,0,15.871
2012-04-30,0,4164.101
2012-05-31,0,3907.437
2012-06-30,0,3580.021
2012-07-31,0,0
2012-08-31,0,0
2012-09-30,0,0
2012-10-31,0,0
2012-11-30,0,0
2012-12-31,0,0
2013-01-31,0,3597.04
2013-02-28,0,2928.78
2013-03-31,0,3215.697
2013-04-30,0,3091.292
2013-05-31,0,2853.291
2013-06-30,0,2882.4976
2013-07-31,0,4057.914
2013-08-31,0,3811.098
2013-09-30,0,4484.116
2013-10-31,0,4786.123
2013-11-30,0,4667.501
2013-12-31,0,4350.335
2014-01-31,0,4461.731
2014-02-28,0,3684.345
2014-03-31,0,1566.32
2014-04-30,0,3802.796
2014-05-31,0,3859.508
2014-06-30,0,4325.471
2014-07-31,0,4676.456
2014-08-31,0,4731.896
2014-09-30,0,4664.091
2014-10-31,0,5222.0
2014-11-30,0,4750.658
2014-12-31,0,4535.68
2015-01-31,1,4258.585
2015-02-28,0,3753.371
2015-03-31,0,2324.144
2015-04-30,0,3646.713
2015-05-31,0,4066.779
2015-06-30,0,4427.103
2015-07-31,0,4400.047
2015-08-31,1,4418.673
2015-09-30,1,4513.654
2015-10-31,1,4344.114
2015-11-30,1,4661.182
2015-12-31,0,4493.267
