D a t e , D r o u g h t L e v e l , P r o d u c t i o n
2006-01-31,1,34398.484
2006-02-28,3,35860.7
2006-03-31,4,46682.677
2006-04-30,4,32207.948
2006-05-31,4,9522.842
2006-06-30,4,3989.758
2006-07-31,3,13.164
2006-08-31,1,28.165
2006-09-30,0,5709.071
2006-10-31,0,27214.262
2006-11-30,0,24833.57
2006-12-31,0,28092.824
2007-01-31,1,28222.714
2007-02-28,1,40298.612
2007-03-31,2,60266.841
2007-04-30,3,36960.694
2007-05-31,2,17487.48
2007-06-30,2,7858.658
2007-07-31,2,847.602
2007-08-31,0,94.97
2007-09-30,0,1830.177
2007-10-31,0,30104.433
2007-11-30,1,48792.718
2007-12-31,1,4420.379
2008-01-31,1,28354.613
2008-02-29,2,36878.96
2008-03-31,2,58534.266
2008-04-30,2,49244.768
2008-05-31,2,23253.599
2008-06-30,1,5235.182
2008-07-31,0,327.885
2008-08-31,0,19910.034
2008-09-30,0,48873.253
2008-10-31,0,30673.052
2008-11-30,0,0
2008-12-31,0,0
2009-01-31,0,43530.286
2009-02-28,0,53051.852
2009-03-31,1,57082.101
2009-04-30,1,36632.348
2009-05-31,1,21717.238
2009-06-30,0,5054.25
2009-07-31,0,261.2
2009-08-31,0,11864.88
2009-09-30,0,14454.868
2009-10-31,0,37911.352
2009-11-30,0,32654.168
2009-12-31,0,0
2010-01-31,1,35007.312
2010-02-28,1,35537.61
2010-03-31,1,56482.342
2010-04-30,1,35534.642
2010-05-31,1,21440.841
2010-06-30,1,6076.27
2010-07-31,1,386.035
2010-08-31,0,832.562
2010-09-30,1,3531.504
2010-10-31,1,42807.495
2010-11-30,1,51032.551
2010-12-31,1,17786.195
2011-01-31,1,36821.061
2011-02-28,1,25270.187
2011-03-31,2,33884.927
2011-04-30,3,39488.034
2011-05-31,3,53746.556
2011-06-30,3,6344.85
2011-07-31,2,4.37
2011-08-31,1,2053.72
2011-09-30,0,26880.206
2011-10-31,2,7064.753
2011-11-30,2,0
2011-12-31,2,0
2012-01-31,2,3595.975
2012-02-29,2,12982.118
2012-03-31,2,24932.715
2012-04-30,2,22384.834
2012-05-31,2,0
2012-06-30,0,0
2012-07-31,0,0
2012-08-31,0,0
2012-09-30,0,0
2012-10-31,0,0
2012-11-30,0,0
2012-12-31,0,0
2013-01-31,0,22581.872
2013-02-28,0,23405.75
2013-03-31,0,26282.078
2013-04-30,0,8719.062
2013-05-31,0,1433.034
2013-06-30,1,29802.723
2013-07-31,1,25096.524
2013-08-31,1,24638.169
2013-09-30,0,0
2013-10-31,0,0
2013-11-30,0,0
2013-12-31,0,0
2014-01-31,0,18540.271
2014-02-28,0,34865.208
2014-03-31,0,41402.9
2014-04-30,0,39612.244
2014-05-31,0,27761.142
2014-06-30,0,1530.073
2014-07-31,0,291.497
2014-08-31,0,27223.154
2014-09-30,0,44262.992
2014-10-31,0,17252.771
2014-11-30,0,0
2014-12-31,0,0
2015-01-31,0,26076.574
2015-02-28,0,29821.426
2015-03-31,0,45573.034
2015-04-30,0,32727.484
2015-05-31,0,13356.614
2015-06-30,0,1.286
2015-07-31,0,2129.435
2015-08-31,0,19054.297
2015-09-30,0,43304.688
2015-10-31,0,16362.179
2015-11-30,0,0
2015-12-31,0,0
