D a t e , D r o u g h t L e v e l , P r o d u c t i o n
2006-01-31,2,173626.238
2006-02-28,2,142664.387
2006-03-31,3,110166.992
2006-04-30,3,158478.326
2006-05-31,1,296095.994
2006-06-30,2,228679.72
2006-07-31,0,138503.481
2006-08-31,0,248887.499
2006-09-30,0,249985.819
2006-10-31,0,300989.867
2006-11-30,0,300810.57
2006-12-31,0,156343.573
2007-01-31,0,218749.17
2007-02-28,0,214113.347
2007-03-31,0,282687.333
2007-04-30,1,207283.828
2007-05-31,1,187836.513
2007-06-30,1,255556.927
2007-07-31,2,160866.02
2007-08-31,0,242795.439
2007-09-30,0,513510.987
2007-10-31,1,388287.817
2007-11-30,1,295198.283
2007-12-31,1,363553.179
2008-01-31,1,130374.339
2008-02-29,2,225626.805
2008-03-31,2,227901.181
2008-04-30,2,121248.037
2008-05-31,3,85660.772
2008-06-30,3,81240.853
2008-07-31,2,247294.465
2008-08-31,2,389888.797
2008-09-30,1,427814.645
2008-10-31,1,554842.039
2008-11-30,1,225805.285
2008-12-31,1,163191.193
2009-01-31,1,170753.457
2009-02-28,1,232713.774
2009-03-31,1,190344.331
2009-04-30,1,246623.718
2009-05-31,1,240733.64
2009-06-30,1,234130.035
2009-07-31,2,228791.234
2009-08-31,3,141853.471
2009-09-30,2,90145.698
2009-10-31,2,115376.097
2009-11-30,2,129655.767
2009-12-31,2,107505.484
2010-01-31,2,100987.334
2010-02-28,0,143132.849
2010-03-31,0,309634.558
2010-04-30,0,301334.368
2010-05-31,0,395940.277
2010-06-30,0,225939.443
2010-07-31,0,209220.427
2010-08-31,0,634641.966
2010-09-30,0,668505.476
2010-10-31,0,546723.437
2010-11-30,0,212467.425
2010-12-31,0,167185.63
2011-01-31,0,238253.378
2011-02-28,0,204419.83
2011-03-31,1,223113.7
2011-04-30,2,200149.521
2011-05-31,1,150818.628
2011-06-30,3,131383.767
2011-07-31,2,264837.93
2011-08-31,2,560601.457
2011-09-30,1,769283.314
2011-10-31,1,314479.135
2011-11-30,1,264040.489
2011-12-31,1,216908.583
2012-01-31,1,209421.328
2012-02-29,0,199118.232
2012-03-31,0,228389.175
2012-04-30,0,255007.21
2012-05-31,0,317905.556
2012-06-30,0,134600.899
2012-07-31,0,156682.832
2012-08-31,0,363396.735
2012-09-30,0,333778.366
2012-10-31,0,370435.191
2012-11-30,0,127981.613
2012-12-31,0,214729.841
2013-01-31,0,112166.873
2013-02-28,0,104021.219
2013-03-31,0,126286.119
2013-04-30,0,187904.417
2013-05-31,0,126751.387
2013-06-30,0,149353.237
2013-07-31,0,338495.742
2013-08-31,0,231564.056
2013-09-30,0,544361.658
2013-10-31,0,752861.298
2013-11-30,0,502054.689
2013-12-31,0,275019.066
2014-01-31,0,181467.147
2014-02-28,0,243208.039
2014-03-31,0,225475.476
2014-04-30,0,304647.097
2014-05-31,0,354935.573
2014-06-30,0,348468.503
2014-07-31,0,599428.561
2014-08-31,0,348240.898
2014-09-30,0,262039.356
2014-10-31,0,383842.814
2014-11-30,0,159955.001
2014-12-31,0,228580.584
2015-01-31,1,197412.056
2015-02-28,0,131954.142
2015-03-31,0,234622.967
2015-04-30,0,454964.841
2015-05-31,0,432234.627
2015-06-30,0,237191.435
2015-07-31,0,211064.226
2015-08-31,1,174303.237
2015-09-30,1,150778.404
2015-10-31,1,123897.634
2015-11-30,1,121335.715
2015-12-31,0,134769.82
